date,SP500_Daily_P/E
2019-01-15,20.93924411667515
2019-01-16,20.98991361631637
2019-01-17,21.149156943275813
2019-01-18,21.4306591238082
2019-01-22,21.141114487652604
2019-01-23,21.18535002279526
2019-01-24,21.196616224717886
2019-01-25,21.375966367140347
2019-01-28,21.213500646691507
2019-01-29,21.18535002279526
2019-01-30,21.520735979598093
2019-01-31,21.709739774388456
2019-02-01,20.7195
2019-02-04,20.86526395703484
2019-02-05,20.952735494185124
2019-02-06,20.925108828295755
2019-02-07,20.72564011940871
2019-02-08,20.75095423927445
2019-02-11,20.762467931028233
2019-02-12,21.029463758095066
2019-02-13,21.097739356572685
2019-02-14,21.050936109259737
2019-02-15,21.28034144909322
2019-02-19,21.317165389262932
2019-02-20,21.36013073932462
2019-02-21,21.28417676537794
2019-02-22,21.416133841884452
2019-02-25,21.44528585900146
2019-02-26,21.429943303379318
2019-02-27,21.420731833782988
2019-02-28,21.38084428632529
2019-03-01,21.0909
2019-03-04,21.01418149176048
2019-03-05,20.985600706869437
2019-03-06,20.85849262519706
2019-03-07,20.68400587076644
2019-03-08,20.642638878682867
2019-03-11,20.941976804364227
2019-03-12,21.02094969285675
2019-03-13,21.160092521637324
2019-03-14,21.146549794023194
2019-03-15,21.25103310776924
2019-03-18,21.328084333184158
2019-03-19,21.3333673252922
2019-03-20,21.269161766032727
2019-03-21,21.50938356666215
2019-03-22,21.095411290674633
2019-03-25,21.07954333808574
2019-03-26,21.236674400770603
2019-03-27,21.125635420093538
2019-03-28,21.20571019702622
2019-03-29,21.339416958496393
2019-04-01,21.7774
2019-04-02,21.788071779869984
2019-04-03,21.822350598376307
2019-04-04,21.880251766537445
2019-04-05,21.98616318493145
2019-04-08,22.002923646477605
2019-04-09,21.89016309915701
2019-04-10,21.964827280700714
2019-04-11,21.95873349535172
2019-04-12,22.107303963025124
2019-04-15,22.092832498739458
2019-04-16,22.107303963025124
2019-04-17,22.053205031116086
2019-04-18,22.096632183155148
2019-04-22,22.115684193798202
2019-04-23,22.31453349427368
2019-04-24,22.265012556885626
2019-04-25,22.251291332504728
2019-04-26,22.35491885731106
2019-04-29,22.389970882249862
2019-04-30,22.40139800569744
2019-05-01,20.3449
2019-05-02,20.300978639615895
2019-05-03,20.49968374039346
2019-05-06,20.415320355420466
2019-05-07,20.07438747973327
2019-05-08,20.046508426002294
2019-05-09,19.985846556681317
2019-05-10,20.086245242933362
2019-05-13,19.58146834303696
2019-05-14,19.758561864764342
2019-05-15,19.87429297976231
2019-05-16,20.05835684870361
2019-05-17,19.92868036902842
2019-05-20,19.796906947377316
2019-05-21,19.9753875331734
2019-05-22,19.91404380744154
2019-05-23,19.670714473746738
2019-05-24,19.715331701289884
2019-05-28,19.531968369757028
2019-05-29,19.400900155763743
2019-05-30,19.453882967525942
2019-05-31,19.19173836660295
2019-06-03,21.7473
2019-06-04,22.219369729832458
2019-06-05,22.411834100368498
2019-06-06,22.55756648442107
2019-06-07,22.783299806052106
2019-06-10,22.88785519792729
2019-06-11,22.88231081488061
2019-06-12,22.841919055900288
2019-06-13,22.936168262064292
2019-06-14,22.910815310496243
2019-06-17,22.919537765739072
2019-06-18,23.15953262002992
2019-06-19,23.211801031115524
2019-06-20,23.433571047353368
2019-06-21,23.399516863061343
2019-06-24,23.370863809813837
2019-06-25,23.14164203664864
2019-06-26,23.118554588966663
2019-06-27,23.200542484871434
2019-06-28,23.31992180615567
2019-07-01,22.4257
2019-07-02,22.4840923994881
2019-07-03,22.66386575252959
2019-07-05,22.638073690375304
2019-07-08,22.513679196527068
2019-07-09,22.54174658272948
2019-07-10,22.649447782478035
2019-07-11,22.70254373320969
2019-07-12,22.804179930301107
2019-07-15,22.811764343794824
2019-07-16,22.738195532905802
2019-07-17,22.5834608569449
2019-07-18,22.666133492164203
2019-07-19,22.540229700030736
2019-07-22,22.59559339039701
2019-07-23,22.757156566640088
2019-07-24,22.864099325039266
2019-07-25,22.754881242591978
2019-07-26,22.90734059450476
2019-07-29,22.865608623324523
2019-07-30,22.809494076022375
2019-07-31,22.559941590700898
2019-08-01,22.02
2019-08-02,21.8542022076828
2019-08-05,21.19698039619998
2019-08-06,21.494218567922807
